tff_input,tff_permeate,tff_retentate,cc700_input,cc700_ft
3E+09,4E+09,6.6E+09,5.7E+11,1E+11
5.1E+09,4.4E+09,6E+09,7.3E+11,1.1E+11
5.7E+09,5.2E+09,6.3E+09,6.9E+11,1.3E+11
6E+09,5.4E+09,6.1E+09,6.6E+11,1.2E+11
7.6E+09,5.9E+09,6.5E+09,7.5E+11,1.4E+11
7E+09,5.4E+09,7.4E+09,8E+11,1.5E+11
7.3E+09,5.4E+09,7.2E+09,7.3E+11,1.5E+11
7.8E+09,5.9E+09,8E+09,8.9E+11,1.6E+11
7.3E+09,6E+09,7.8E+09,9.5E+11,1.7E+11
6.7E+09,5.4E+09,8.9E+09,9E+11,1.3E+11
5.3E+09,5.1E+09,8E+09,7.9E+11,6.3E+10
3.9E+09,4.8E+09,4E+09,6.8E+11,1.2E+11
4.6E+09,5.1E+09,6.3E+09,8E+11,1.4E+11
5.1E+09,4.8E+09,6.3E+09,7.8E+11,1.3E+11
4.9E+09,5.2E+09,5.9E+09,7.3E+11,1.4E+11
5.5E+09,5.5E+09,6.5E+09,8E+11,1.3E+11
6.3E+09,5.4E+09,7.4E+09,8.2E+11,1.5E+11
7E+09,5.6E+09,6.9E+09,8.8E+11,1.6E+11
6.6E+09,4.7E+09,7.5E+09,8E+11,1.5E+11
7.2E+09,6.2E+09,7.6E+09,9.6E+11,1.6E+11
6.5E+09,6.5E+09,7.6E+09,9.2E+11,1.6E+11
5.3E+09,6.1E+09,7.1E+09,8.5E+11,7.8E+10
4.2E+09,5E+09,5.3E+09,7.3E+11,1.7E+11
5E+09,5.1E+09,6.7E+09,7.6E+11,1.5E+11
4.8E+09,4.2E+09,6.5E+09,7.2E+11,1.4E+11
4.3E+09,4.6E+09,6.3E+09,7E+11,1.2E+11
5.9E+09,5.3E+09,7.3E+09,7.7E+11,1.5E+11
6E+09,6.2E+09,6.5E+09,7E+11,1.6E+11
6.8E+09,5.1E+09,8.4E+09,8.1E+11,1.5E+11
6E+09,4.7E+09,8E+09,8.2E+11,1.6E+11
6.8E+09,5.9E+09,8.6E+09,9.1E+11,1.7E+11
6.3E+09,6E+09,7.7E+09,8.6E+11,1.6E+11
5.4E+09,6.1E+09,6.6E+09,7.5E+11,1.5E+11
