"country","year","population"
"Albania",1950,1247854
"Albania",1951,1276364
"Albania",1952,1308369
"Albania",1953,1343582
"Albania",1954,1381087
"Albania",1955,1418855
"Albania",1956,1456823
"Albania",1957,1497952
"Albania",1958,1543981
"Albania",1959,1595023
"Albania",1960,1649393
"Albania",1961,1698800
"Albania",1962,1743738
"Albania",1963,1791289
"Albania",1964,1841445
"Albania",1965,1894318
"Albania",1966,1950047
"Albania",1967,2008523
"Albania",1968,2068849
"Albania",1969,2126885
"Albania",1970,2181227
"Albania",1971,2234994
"Albania",1972,2289267
"Albania",1973,2344108
"Albania",1974,2399398
"Albania",1975,2454864
"Albania",1976,2510582
"Albania",1977,2566601
"Albania",1978,2624621
"Albania",1979,2681391
"Albania",1980,2735423
"Albania",1981,2790413
"Albania",1982,2846910
"Albania",1983,2905129
"Albania",1984,2964961
"Albania",1985,3026245
"Albania",1986,3087659
"Albania",1987,3148843
"Albania",1988,3212924
"Albania",1989,3260370
"Albania",1990,3277964
"Albania",1991,3282607
"Albania",1992,3282506
"Albania",1993,3277830
"Albania",1994,3269417
"Albania",1995,3258571
"Albania",1996,3245681
"Albania",1997,3229665
"Albania",1998,3210133
"Albania",1999,3188596
"Albania",2000,3166147
"Albania",2001,3147941
"Albania",2002,3134094
"Albania",2003,3118092
"Albania",2004,3098663
"Albania",2005,3076155
"Albania",2006,3050804
"Albania",2007,3022887
"Albania",2008,2992933
"Albania",2009,2961487
"Albania",2010,2928730
"Albania",2011,2911500
"Albania",2012,2910003
"Albania",2013,2907570
"Albania",2014,2903748
"Albania",2015,2898634
"Albania",2016,2897868
"Albania",2017,2898247
"Albania",2018,2894231
"Albania",2019,2885012
"Albania",2020,2871951
"Albania",2021,2849643
"Albania",2022,2827615
"Albania",2023,2811660
"Bulgaria",1950,7248511
"Bulgaria",1951,7314427
"Bulgaria",1952,7361957
"Bulgaria",1953,7415922
"Bulgaria",1954,7476267
"Bulgaria",1955,7533656
"Bulgaria",1956,7587160
"Bulgaria",1957,7649545
"Bulgaria",1958,7724890
"Bulgaria",1959,7794174
"Bulgaria",1960,7862933
"Bulgaria",1961,7938309
"Bulgaria",1962,8008324
"Bulgaria",1963,8073731
"Bulgaria",1964,8140078
"Bulgaria",1965,8202417
"Bulgaria",1966,8258788
"Bulgaria",1967,8311127
"Bulgaria",1968,8370642
"Bulgaria",1969,8435276
"Bulgaria",1970,8490822
"Bulgaria",1971,8538899
"Bulgaria",1972,8579911
"Bulgaria",1973,8624801
"Bulgaria",1974,8682749
"Bulgaria",1975,8723148
"Bulgaria",1976,8759432
"Bulgaria",1977,8804691
"Bulgaria",1978,8813739
"Bulgaria",1979,8824994
"Bulgaria",1980,8859538
"Bulgaria",1981,8887801
"Bulgaria",1982,8912738
"Bulgaria",1983,8933328
"Bulgaria",1984,8952608
"Bulgaria",1985,8958852
"Bulgaria",1986,8963472
"Bulgaria",1987,8976205
"Bulgaria",1988,8985725
"Bulgaria",1989,8936388
"Bulgaria",1990,8822365
"Bulgaria",1991,8695799
"Bulgaria",1992,8559091
"Bulgaria",1993,8466532
"Bulgaria",1994,8416925
"Bulgaria",1995,8357576
"Bulgaria",1996,8291403
"Bulgaria",1997,8217101
"Bulgaria",1998,8138192
"Bulgaria",1999,8067463
"Bulgaria",2000,8000519
"Bulgaria",2001,7928456
"Bulgaria",2002,7861949
"Bulgaria",2003,7804406
"Bulgaria",2004,7749431
"Bulgaria",2005,7695047
"Bulgaria",2006,7640290
"Bulgaria",2007,7586895
"Bulgaria",2008,7535590
"Bulgaria",2009,7488018
"Bulgaria",2010,7437594
"Bulgaria",2011,7380021
"Bulgaria",2012,7317021
"Bulgaria",2013,7264606
"Bulgaria",2014,7223451
"Bulgaria",2015,7177516
"Bulgaria",2016,7127436
"Bulgaria",2017,7075639
"Bulgaria",2018,7024746
"Bulgaria",2019,6975467
"Bulgaria",2020,6933654
"Bulgaria",2021,6877222
"Bulgaria",2022,6825863
"Bulgaria",2023,6795804
"Croatia",1950,3864993
"Croatia",1951,3911671
"Croatia",1952,3957411
"Croatia",1953,4006128
"Croatia",1954,4048122
"Croatia",1955,4080737
"Croatia",1956,4110129
"Croatia",1957,4136706
"Croatia",1958,4160698
"Croatia",1959,4182085
"Croatia",1960,4200270
"Croatia",1961,4223430
"Croatia",1962,4255018
"Croatia",1963,4287270
"Croatia",1964,4317758
"Croatia",1965,4346709
"Croatia",1966,4374306
"Croatia",1967,4400269
"Croatia",1968,4423830
"Croatia",1969,4444450
"Croatia",1970,4462674
"Croatia",1971,4480164
"Croatia",1972,4497888
"Croatia",1973,4515758
"Croatia",1974,4533947
"Croatia",1975,4552728
"Croatia",1976,4571752
"Croatia",1977,4590624
"Croatia",1978,4609024
"Croatia",1979,4626954
"Croatia",1980,4643902
"Croatia",1981,4664260
"Croatia",1982,4689152
"Croatia",1983,4712881
"Croatia",1984,4734488
"Croatia",1985,4754551
"Croatia",1986,4773057
"Croatia",1987,4790207
"Croatia",1988,4806030
"Croatia",1989,4820726
"Croatia",1990,4835068
"Croatia",1991,4825159
"Croatia",1992,4782238
"Croatia",1993,4729737
"Croatia",1994,4675515
"Croatia",1995,4619361
"Croatia",1996,4562291
"Croatia",1997,4504629
"Croatia",1998,4445669
"Croatia",1999,4385822
"Croatia",2000,4326105
"Croatia",2001,4301078
"Croatia",2002,4305783
"Croatia",2003,4306682
"Croatia",2004,4310054
"Croatia",2005,4313946
"Croatia",2006,4315802
"Croatia",2007,4315957
"Croatia",2008,4314634
"Croatia",2009,4310537
"Croatia",2010,4301152
"Croatia",2011,4280827
"Croatia",2012,4259234
"Croatia",2013,4242404
"Croatia",2014,4219485
"Croatia",2015,4183732
"Croatia",2016,4136438
"Croatia",2017,4079198
"Croatia",2018,4024868
"Croatia",2019,3986338
"Croatia",2020,3953957
"Croatia",2021,3924607
"Croatia",2022,3907031
"Croatia",2023,3896024
"Hungary",1950,9337882
"Hungary",1951,9423178
"Hungary",1952,9503934
"Hungary",1953,9594482
"Hungary",1954,9704596
"Hungary",1955,9823216
"Hungary",1956,9853996
"Hungary",1957,9837928
"Hungary",1958,9880680
"Hungary",1959,9936845
"Hungary",1960,9983383
"Hungary",1961,10026516
"Hungary",1962,10058067
"Hungary",1963,10083840
"Hungary",1964,10114375
"Hungary",1965,10141117
"Hungary",1966,10170410
"Hungary",1967,10206813
"Hungary",1968,10244548
"Hungary",1969,10281594
"Hungary",1970,10315140
"Hungary",1971,10343972
"Hungary",1972,10374303
"Hungary",1973,10407440
"Hungary",1974,10453918
"Hungary",1975,10515653
"Hungary",1976,10573771
"Hungary",1977,10623146
"Hungary",1978,10660187
"Hungary",1979,10688256
"Hungary",1980,10695370
"Hungary",1981,10679329
"Hungary",1982,10656106
"Hungary",1983,10622986
"Hungary",1984,10584329
"Hungary",1985,10547258
"Hungary",1986,10511100
"Hungary",1987,10475104
"Hungary",1988,10440534
"Hungary",1989,10403420
"Hungary",1990,10381280
"Hungary",1991,10378175
"Hungary",1992,10371477
"Hungary",1993,10356868
"Hungary",1994,10339937
"Hungary",1995,10322790
"Hungary",1996,10302236
"Hungary",1997,10278600
"Hungary",1998,10251715
"Hungary",1999,10219797
"Hungary",2000,10190596
"Hungary",2001,10166692
"Hungary",2002,10138462
"Hungary",2003,10108970
"Hungary",2004,10085789
"Hungary",2005,10065704
"Hungary",2006,10049947
"Hungary",2007,10034084
"Hungary",2008,10016655
"Hungary",2009,10001382
"Hungary",2010,9979129
"Hungary",2011,9946675
"Hungary",2012,9916620
"Hungary",2013,9889344
"Hungary",2014,9862843
"Hungary",2015,9839210
"Hungary",2016,9810530
"Hungary",2017,9785606
"Hungary",2018,9774395
"Hungary",2019,9770346
"Hungary",2020,9749460
"Hungary",2021,9707848
"Hungary",2022,9684306
"Hungary",2023,9686463
"Poland",1950,24780169
"Poland",1951,25222692
"Poland",1952,25672466
"Poland",1953,26126457
"Poland",1954,26590475
"Poland",1955,27063640
"Poland",1956,27535570
"Poland",1957,28076495
"Poland",1958,28643644
"Poland",1959,29132534
"Poland",1960,29575967
"Poland",1961,29979693
"Poland",1962,30338095
"Poland",1963,30674024
"Poland",1964,30993140
"Poland",1965,31288338
"Poland",1966,31568282
"Poland",1967,31828625
"Poland",1968,32078387
"Poland",1969,32322777
"Poland",1970,32542639
"Poland",1971,32771298
"Poland",1972,33041994
"Poland",1973,33333277
"Poland",1974,33642463
"Poland",1975,33964399
"Poland",1976,34296611
"Poland",1977,34628514
"Poland",1978,34934216
"Poland",1979,35248381
"Poland",1980,35576518
"Poland",1981,35900913
"Poland",1982,36233466
"Poland",1983,36573701
"Poland",1984,36905796
"Poland",1985,37200851
"Poland",1986,37452612
"Poland",1987,37665712
"Poland",1988,37817862
"Poland",1989,37938087
"Poland",1990,38055449
"Poland",1991,38152947
"Poland",1992,38233632
"Poland",1993,38294881
"Poland",1994,38344311
"Poland",1995,38364668
"Poland",1996,38359165
"Poland",1997,38348307
"Poland",1998,38326432
"Poland",1999,38287717
"Poland",2000,38258076
"Poland",2001,38247357
"Poland",2002,38229406
"Poland",2003,38203525
"Poland",2004,38167567
"Poland",2005,38124377
"Poland",2006,38071170
"Poland",2007,38020420
"Poland",2008,37995902
"Poland",2009,38002154
"Poland",2010,38095356
"Poland",2011,38208644
"Poland",2012,38247868
"Poland",2013,38259266
"Poland",2014,38265113
"Poland",2015,38266314
"Poland",2016,38263259
"Poland",2017,38254964
"Poland",2018,38241070
"Poland",2019,38225884
"Poland",2020,38171005
"Poland",2021,38040304
"Poland",2022,38385734
"Poland",2023,38762847
"Romania",1950,16397275
"Romania",1951,16625607
"Romania",1952,16846052
"Romania",1953,17057702
"Romania",1954,17266659
"Romania",1955,17475271
"Romania",1956,17691498
"Romania",1957,17887292
"Romania",1958,18046125
"Romania",1959,18187698
"Romania",1960,18313498
"Romania",1961,18422519
"Romania",1962,18511673
"Romania",1963,18587432
"Romania",1964,18655407
"Romania",1965,18713061
"Romania",1966,18776260
"Romania",1967,18998561
"Romania",1968,19361050
"Romania",1969,19701813
"Romania",1970,20011627
"Romania",1971,20293489
"Romania",1972,20555576
"Romania",1973,20798321
"Romania",1974,21033561
"Romania",1975,21268070
"Romania",1976,21497683
"Romania",1977,21700176
"Romania",1978,21868064
"Romania",1979,22019629
"Romania",1980,22154776
"Romania",1981,22272787
"Romania",1982,22374447
"Romania",1983,22459213
"Romania",1984,22534001
"Romania",1985,22605814
"Romania",1986,22674739
"Romania",1987,22745588
"Romania",1988,22815434
"Romania",1989,22887645
"Romania",1990,22939529
"Romania",1991,22947415
"Romania",1992,22912388
"Romania",1993,22842257
"Romania",1994,22756246
"Romania",1995,22657724
"Romania",1996,22541912
"Romania",1997,22411509
"Romania",1998,22284900
"Romania",1999,22166156
"Romania",2000,22046264
"Romania",2001,21919917
"Romania",2002,21770020
"Romania",2003,21593447
"Romania",2004,21403214
"Romania",2005,21213395
"Romania",2006,21035734
"Romania",2007,20870714
"Romania",2008,20718744
"Romania",2009,20576923
"Romania",2010,20432576
"Romania",2011,20282008
"Romania",2012,20158452
"Romania",2013,20062914
"Romania",2014,19968180
"Romania",2015,19871018
"Romania",2016,19777049
"Romania",2017,19689406
"Romania",2018,19597874
"Romania",2019,19501543
"Romania",2020,19392469
"Romania",2021,19248159
"Romania",2022,19166776
"Romania",2023,19118481
"Serbia",1950,6009199
"Serbia",1951,6067046
"Serbia",1952,6127269
"Serbia",1953,6192415
"Serbia",1954,6266888
"Serbia",1955,6346331
"Serbia",1956,6422765
"Serbia",1957,6496456
"Serbia",1958,6567235
"Serbia",1959,6635217
"Serbia",1960,6702962
"Serbia",1961,6771392
"Serbia",1962,6838634
"Serbia",1963,6904168
"Serbia",1964,6968218
"Serbia",1965,7031140
"Serbia",1966,7093230
"Serbia",1967,7154393
"Serbia",1968,7214029
"Serbia",1969,7271058
"Serbia",1970,7324426
"Serbia",1971,7375141
"Serbia",1972,7424741
"Serbia",1973,7473515
"Serbia",1974,7522490
"Serbia",1975,7572431
"Serbia",1976,7622704
"Serbia",1977,7671485
"Serbia",1978,7716933
"Serbia",1979,7758219
"Serbia",1980,7796286
"Serbia",1981,7827862
"Serbia",1982,7849651
"Serbia",1983,7864594
"Serbia",1984,7875048
"Serbia",1985,7881551
"Serbia",1986,7884581
"Serbia",1987,7885364
"Serbia",1988,7884457
"Serbia",1989,7881273
"Serbia",1990,7874594
"Serbia",1991,7867068
"Serbia",1992,7859811
"Serbia",1993,7849722
"Serbia",1994,7837159
"Serbia",1995,7823281
"Serbia",1996,7807718
"Serbia",1997,7789183
"Serbia",1998,7765929
"Serbia",1999,7734364
"Serbia",2000,7694608
"Serbia",2001,7651927
"Serbia",2002,7616742
"Serbia",2003,7590946
"Serbia",2004,7565843
"Serbia",2005,7539139
"Serbia",2006,7511394
"Serbia",2007,7482996
"Serbia",2008,7454285
"Serbia",2009,7425346
"Serbia",2010,7395872
"Serbia",2011,7364857
"Serbia",2012,7324624
"Serbia",2013,7276184
"Serbia",2014,7227203
"Serbia",2015,7177257
"Serbia",2016,7126083
"Serbia",2017,7073508
"Serbia",2018,7020016
"Serbia",2019,6966154
"Serbia",2020,6907817
"Serbia",2021,6835434
"Serbia",2022,6791218
