"country","year","population"
"Bahrain",1950,117274
"Bahrain",1951,120765
"Bahrain",1952,124465
"Bahrain",1953,128386
"Bahrain",1954,132575
"Bahrain",1955,137081
"Bahrain",1956,141931
"Bahrain",1957,147163
"Bahrain",1958,152823
"Bahrain",1959,158935
"Bahrain",1960,165490
"Bahrain",1961,172358
"Bahrain",1962,179361
"Bahrain",1963,186510
"Bahrain",1964,193830
"Bahrain",1965,200877
"Bahrain",1966,207550
"Bahrain",1967,214198
"Bahrain",1968,219348
"Bahrain",1969,222480
"Bahrain",1970,224816
"Bahrain",1971,230745
"Bahrain",1972,242128
"Bahrain",1973,255334
"Bahrain",1974,269047
"Bahrain",1975,283251
"Bahrain",1976,297870
"Bahrain",1977,312826
"Bahrain",1978,328059
"Bahrain",1979,343460
"Bahrain",1980,358991
"Bahrain",1981,373532
"Bahrain",1982,386990
"Bahrain",1983,400722
"Bahrain",1984,415165
"Bahrain",1985,430365
"Bahrain",1986,446290
"Bahrain",1987,462864
"Bahrain",1988,479931
"Bahrain",1989,497329
"Bahrain",1990,514800
"Bahrain",1991,531883
"Bahrain",1992,547754
"Bahrain",1993,562820
"Bahrain",1994,577960
"Bahrain",1995,593228
"Bahrain",1996,608595
"Bahrain",1997,624020
"Bahrain",1998,639391
"Bahrain",1999,654621
"Bahrain",2000,669590
"Bahrain",2001,699964
"Bahrain",2002,752206
"Bahrain",2003,811278
"Bahrain",2004,871449
"Bahrain",2005,932619
"Bahrain",2006,994626
"Bahrain",2007,1057418
"Bahrain",2008,1120717
"Bahrain",2009,1183616
"Bahrain",2010,1213250
"Bahrain",2011,1206734
"Bahrain",2012,1216308
"Bahrain",2013,1257206
"Bahrain",2014,1312858
"Bahrain",2015,1369656
"Bahrain",2016,1429609
"Bahrain",2017,1482004
"Bahrain",2018,1497634
"Bahrain",2019,1485675
"Bahrain",2020,1483081
"Bahrain",2021,1501762
"Bahrain",2022,1533459
"Bahrain",2023,1569674
"Cyprus",1950,493884
"Cyprus",1951,501060
"Cyprus",1952,508693
"Cyprus",1953,516735
"Cyprus",1954,525118
"Cyprus",1955,533873
"Cyprus",1956,543081
"Cyprus",1957,552830
"Cyprus",1958,563293
"Cyprus",1959,574569
"Cyprus",1960,586494
"Cyprus",1961,595522
"Cyprus",1962,601471
"Cyprus",1963,607254
"Cyprus",1964,612531
"Cyprus",1965,617743
"Cyprus",1966,623392
"Cyprus",1967,629253
"Cyprus",1968,635164
"Cyprus",1969,641195
"Cyprus",1970,647444
"Cyprus",1971,654058
"Cyprus",1972,661068
"Cyprus",1973,665945
"Cyprus",1974,663265
"Cyprus",1975,659408
"Cyprus",1976,662044
"Cyprus",1977,667104
"Cyprus",1978,672258
"Cyprus",1979,677550
"Cyprus",1980,683082
"Cyprus",1981,688895
"Cyprus",1982,696503
"Cyprus",1983,707223
"Cyprus",1984,719345
"Cyprus",1985,731290
"Cyprus",1986,743116
"Cyprus",1987,754796
"Cyprus",1988,766239
"Cyprus",1989,777429
"Cyprus",1990,788354
"Cyprus",1991,798950
"Cyprus",1992,810343
"Cyprus",1993,826042
"Cyprus",1994,844669
"Cyprus",1995,862698
"Cyprus",1996,880296
"Cyprus",1997,897576
"Cyprus",1998,914552
"Cyprus",1999,931236
"Cyprus",2000,947667
"Cyprus",2001,964129
"Cyprus",2002,981443
"Cyprus",2003,999602
"Cyprus",2004,1017877
"Cyprus",2005,1036156
"Cyprus",2006,1054425
"Cyprus",2007,1072726
"Cyprus",2008,1091028
"Cyprus",2009,1109377
"Cyprus",2010,1127825
"Cyprus",2011,1146492
"Cyprus",2012,1165402
"Cyprus",2013,1183899
"Cyprus",2014,1201807
"Cyprus",2015,1219504
"Cyprus",2016,1237116
"Cyprus",2017,1254273
"Cyprus",2018,1270743
"Cyprus",2019,1286669
"Cyprus",2020,1302250
"Cyprus",2021,1317312
"Cyprus",2022,1331376
"Cyprus",2023,1344979
"Iraq",1950,5653355
"Iraq",1951,5774131
"Iraq",1952,5913013
"Iraq",1953,6064248
"Iraq",1954,6219477
"Iraq",1955,6366279
"Iraq",1956,6507499
"Iraq",1957,6633380
"Iraq",1958,6741681
"Iraq",1959,6870386
"Iraq",1960,7022057
"Iraq",1961,7194560
"Iraq",1962,7413874
"Iraq",1963,7667932
"Iraq",1964,7929573
"Iraq",1965,8202146
"Iraq",1966,8485102
"Iraq",1967,8778877
"Iraq",1968,9085015
"Iraq",1969,9403357
"Iraq",1970,9735611
"Iraq",1971,10077817
"Iraq",1972,10430169
"Iraq",1973,10795873
"Iraq",1974,11167770
"Iraq",1975,11543643
"Iraq",1976,11927651
"Iraq",1977,12331052
"Iraq",1978,12753354
"Iraq",1979,13170374
"Iraq",1980,13591998
"Iraq",1981,14006380
"Iraq",1982,14406080
"Iraq",1983,14840555
"Iraq",1984,15310730
"Iraq",1985,15683430
"Iraq",1986,16074147
"Iraq",1987,16521051
"Iraq",1988,16908823
"Iraq",1989,17364553
"Iraq",1990,17581208
"Iraq",1991,17767257
"Iraq",1992,18300849
"Iraq",1993,19201194
"Iraq",1994,20139819
"Iraq",1995,20825860
"Iraq",1996,21501321
"Iraq",1997,22176603
"Iraq",1998,22884401
"Iraq",1999,23636530
"Iraq",2000,24424059
"Iraq",2001,25197841
"Iraq",2002,26006558
"Iraq",2003,26802660
"Iraq",2004,27577878
"Iraq",2005,28407450
"Iraq",2006,28616518
"Iraq",2007,28391605
"Iraq",2008,28971042
"Iraq",2009,30058207
"Iraq",2010,31045365
"Iraq",2011,32161425
"Iraq",2012,33654841
"Iraq",2013,35281987
"Iraq",2014,36550059
"Iraq",2015,37560535
"Iraq",2016,38469629
"Iraq",2017,39337357
"Iraq",2018,40265629
"Iraq",2019,41192172
"Iraq",2020,42116604
"Iraq",2021,43071210
"Iraq",2022,44070556
"Iraq",2023,45074055
"Israel",1950,1289244
"Israel",1951,1351813
"Israel",1952,1414225
"Israel",1953,1476336
"Israel",1954,1538044
"Israel",1955,1599497
"Israel",1956,1660639
"Israel",1957,1720530
"Israel",1958,1779006
"Israel",1959,1836348
"Israel",1960,1891941
"Israel",1961,1956894
"Israel",1962,2040967
"Israel",1963,2135049
"Israel",1964,2231855
"Israel",1965,2331450
"Israel",1966,2433836
"Israel",1967,2538658
"Israel",1968,2645472
"Israel",1969,2754158
"Israel",1970,2864771
"Israel",1971,2977303
"Israel",1972,3079405
"Israel",1973,3163042
"Israel",1974,3239985
"Israel",1975,3318089
"Israel",1976,3398267
"Israel",1977,3479618
"Israel",1978,3560403
"Israel",1979,3640878
"Israel",1980,3721666
"Israel",1981,3802233
