"country","year","population"
"Bermuda",1950,37240
"Bermuda",1951,37820
"Bermuda",1952,38357
"Bermuda",1953,38850
"Bermuda",1954,39362
"Bermuda",1955,39874
"Bermuda",1956,40362
"Bermuda",1957,40816
"Bermuda",1958,41229
"Bermuda",1959,41663
"Bermuda",1960,42231
"Bermuda",1961,43144
"Bermuda",1962,44260
"Bermuda",1963,45363
"Bermuda",1964,46430
"Bermuda",1965,47484
"Bermuda",1966,48556
"Bermuda",1967,49535
"Bermuda",1968,50426
"Bermuda",1969,51328
"Bermuda",1970,52147
"Bermuda",1971,52628
"Bermuda",1972,52825
"Bermuda",1973,52963
"Bermuda",1974,53076
"Bermuda",1975,53148
"Bermuda",1976,53232
"Bermuda",1977,53345
"Bermuda",1978,53451
"Bermuda",1979,53539
"Bermuda",1980,53692
"Bermuda",1981,54021
"Bermuda",1982,54407
"Bermuda",1983,54800
"Bermuda",1984,55189
"Bermuda",1985,55568
"Bermuda",1986,55908
"Bermuda",1987,56286
"Bermuda",1988,56715
"Bermuda",1989,57148
"Bermuda",1990,57584
"Bermuda",1991,58007
"Bermuda",1992,58430
"Bermuda",1993,58833
"Bermuda",1994,59214
"Bermuda",1995,59549
"Bermuda",1996,59836
"Bermuda",1997,60193
"Bermuda",1998,60659
"Bermuda",1999,61139
"Bermuda",2000,61569
"Bermuda",2001,61887
"Bermuda",2002,62164
"Bermuda",2003,62405
"Bermuda",2004,62576
"Bermuda",2005,62730
"Bermuda",2006,62854
"Bermuda",2007,63031
"Bermuda",2008,63319
"Bermuda",2009,63587
"Bermuda",2010,63748
"Bermuda",2011,63751
"Bermuda",2012,63665
"Bermuda",2013,63594
"Bermuda",2014,63551
"Bermuda",2015,63481
"Bermuda",2016,63466
"Bermuda",2017,63602
"Bermuda",2018,63852
"Bermuda",2019,64130
"Bermuda",2020,64405
"Bermuda",2021,64672
"Bermuda",2022,64772
"Bermuda",2023,64721
"Canada",1950,13741739
"Canada",1951,14083297
"Canada",1952,14482799
"Canada",1953,14897875
"Canada",1954,15318985
"Canada",1955,15728280
"Canada",1956,16159621
"Canada",1957,16641328
"Canada",1958,17104090
"Canada",1959,17515523
"Canada",1960,17898792
"Canada",1961,18263079
"Canada",1962,18613596
"Canada",1963,18964256
"Canada",1964,19321670
"Canada",1965,19685519
"Canada",1966,20053665
"Canada",1967,20408776
"Canada",1968,20734171
"Canada",1969,21037620
"Canada",1970,21440020
"Canada",1971,21895693
"Canada",1972,22230876
"Canada",1973,22512230
"Canada",1974,22824083
"Canada",1975,23148980
"Canada",1976,23455783
"Canada",1977,23730341
"Canada",1978,23978742
"Canada",1979,24237173
"Canada",1980,24533779
"Canada",1981,24844977
"Canada",1982,25140164
"Canada",1983,25412604
"Canada",1984,25670376
"Canada",1985,25927463
"Canada",1986,26211035
"Canada",1987,26540914
"Canada",1988,26927938
"Canada",1989,27366047
"Canada",1990,27789436
"Canada",1991,28157153
"Canada",1992,28500065
"Canada",1993,28830635
"Canada",1994,29147382
"Canada",1995,29459136
"Canada",1996,29767210
"Canada",1997,30059087
"Canada",1998,30329968
"Canada",1999,30599458
"Canada",2000,30891800
"Canada",2001,31213577
"Canada",2002,31535580
"Canada",2003,31836484
"Canada",2004,32132680
"Canada",2005,32440173
"Canada",2006,32759174
"Canada",2007,33092172
"Canada",2008,33449089
"Canada",2009,33826369
"Canada",2010,34196901
"Canada",2011,34555450
"Canada",2012,34922512
"Canada",2013,35293420
"Canada",2014,35634265
"Canada",2015,35962236
"Canada",2016,36353345
"Canada",2017,36808500
"Canada",2018,37294997
"Canada",2019,37782931
"Canada",2020,38171901
"Canada",2021,38454058
"Canada",2022,38821260
"Canada",2023,39299099
"Greenland",1950,23231
"Greenland",1951,23689
"Greenland",1952,24193
"Greenland",1953,24827
"Greenland",1954,25517
"Greenland",1955,26283
"Greenland",1956,27199
"Greenland",1957,28280
"Greenland",1958,29457
"Greenland",1959,30745
"Greenland",1960,32122
"Greenland",1961,33434
"Greenland",1962,34665
"Greenland",1963,35923
"Greenland",1964,37225
"Greenland",1965,38583
"Greenland",1966,39989
"Greenland",1967,41421
"Greenland",1968,42800
"Greenland",1969,44158
"Greenland",1970,45485
"Greenland",1971,46518
"Greenland",1972,47279
"Greenland",1973,47999
"Greenland",1974,48647
"Greenland",1975,49188
"Greenland",1976,49611
"Greenland",1977,49775
"Greenland",1978,49771
"Greenland",1979,49802
"Greenland",1980,50129
"Greenland",1981,50733
"Greenland",1982,51355
"Greenland",1983,51988
"Greenland",1984,52633
"Greenland",1985,53235
"Greenland",1986,53759
"Greenland",1987,54280
"Greenland",1988,54820
"Greenland",1989,55332
"Greenland",1990,55649
"Greenland",1991,55740
"Greenland",1992,55769
"Greenland",1993,55780
"Greenland",1994,55766
"Greenland",1995,55857
"Greenland",1996,56021
"Greenland",1997,56115
"Greenland",1998,56174
"Greenland",1999,56147
"Greenland",2000,56228
"Greenland",2001,56431
"Greenland",2002,56617
"Greenland",2003,56782
"Greenland",2004,56926
"Greenland",2005,56969
"Greenland",2006,56904
"Greenland",2007,56806
"Greenland",2008,56684
"Greenland",2009,56548
"Greenland",2010,56634
"Greenland",2011,56853
"Greenland",2012,56797
"Greenland",2013,56532
"Greenland",2014,56196
"Greenland",2015,56048
"Greenland",2016,56082
"Greenland",2017,56093
"Greenland",2018,56099
"Greenland",2019,56108
"Greenland",2020,56105
"Greenland",2021,56065
"Greenland",2022,56014
"Greenland",2023,55951
"UnitedStates",1950,154202683
"UnitedStates",1951,156481322
"UnitedStates",1952,158794225
"UnitedStates",1953,161168319
"UnitedStates",1954,163636304
"UnitedStates",1955,166200030
"UnitedStates",1956,168824963
"UnitedStates",1957,171499235
"UnitedStates",1958,174215305
"UnitedStates",1959,177145772
"UnitedStates",1960,180274554
"UnitedStates",1961,183489491
"UnitedStates",1962,186724277
"UnitedStates",1963,189825228
"UnitedStates",1964,192819456
"UnitedStates",1965,195653775
"UnitedStates",1966,198265397
"UnitedStates",1967,200699913
"UnitedStates",1968,203011021
"UnitedStates",1969,205300032
"UnitedStates",1970,207796339
"UnitedStates",1971,210426424
"UnitedStates",1972,212842574
"UnitedStates",1973,215006548
"UnitedStates",1974,217076474
"UnitedStates",1975,219129300
"UnitedStates",1976,221168756
"UnitedStates",1977,223259417
"UnitedStates",1978,225396098
"UnitedStates",1979,227575083
"UnitedStates",1980,229858654
"UnitedStates",1981,232201613
"UnitedStates",1982,234583158
"UnitedStates",1983,236986362
"UnitedStates",1984,239353968
"UnitedStates",1985,241690439
"UnitedStates",1986,243953810
"UnitedStates",1987,246161292
"UnitedStates",1988,248393235
"UnitedStates",1989,250675047
"UnitedStates",1990,253373385
"UnitedStates",1991,256471425
"UnitedStates",1992,259606020
"UnitedStates",1993,262633235
"UnitedStates",1994,265474811
"UnitedStates",1995,268205794
"UnitedStates",1996,270860696
"UnitedStates",1997,273468014
"UnitedStates",1998,276119323
"UnitedStates",1999,278785482
"UnitedStates",2000,281484127
"UnitedStates",2001,284279629
"UnitedStates",2002,287084336
"UnitedStates",2003,289908091
"UnitedStates",2004,292786247
"UnitedStates",2005,295716665
"UnitedStates",2006,298730210
"UnitedStates",2007,301844227
"UnitedStates",2008,304970328
"UnitedStates",2009,308023451
"UnitedStates",2010,311062786
"UnitedStates",2011,314105078
"UnitedStates",2012,317115348
"UnitedStates",2013,320110753
"UnitedStates",2014,323115378
"UnitedStates",2015,326126498
"UnitedStates",2016,329179421
"UnitedStates",2017,332204656
"UnitedStates",2018,335056495
"UnitedStates",2019,337790068
"UnitedStates",2020,339436157
"UnitedStates",2021,340161441
"UnitedStates",2022,341534041
"UnitedStates",2023,343477332
