"country","year","population"
"Estonia",1950,1102046
"Estonia",1951,1116194
"Estonia",1952,1129876
"Estonia",1953,1142642
"Estonia",1954,1154811
"Estonia",1955,1166878
"Estonia",1956,1178166
"Estonia",1957,1188784
"Estonia",1958,1200410
"Estonia",1959,1209942
"Estonia",1960,1220465
"Estonia",1961,1235170
"Estonia",1962,1249634
"Estonia",1963,1263755
"Estonia",1964,1278342
"Estonia",1965,1292805
"Estonia",1966,1306445
"Estonia",1967,1320059
"Estonia",1968,1334308
"Estonia",1969,1348697
"Estonia",1970,1361873
"Estonia",1971,1374524
"Estonia",1972,1387215
"Estonia",1973,1399343
"Estonia",1974,1411552
"Estonia",1975,1423506
"Estonia",1976,1434868
"Estonia",1977,1446570
"Estonia",1978,1458230
"Estonia",1979,1468020
"Estonia",1980,1476465
"Estonia",1981,1485343
"Estonia",1982,1494911
"Estonia",1983,1505247
"Estonia",1984,1515614
"Estonia",1985,1525281
"Estonia",1986,1535594
"Estonia",1987,1547259
"Estonia",1988,1559099
"Estonia",1989,1567590
"Estonia",1990,1570310
"Estonia",1991,1565380
"Estonia",1992,1540213
"Estonia",1993,1504344
"Estonia",1994,1475716
"Estonia",1995,1452776
"Estonia",1996,1434655
"Estonia",1997,1421494
"Estonia",1998,1411206
"Estonia",1999,1403579
"Estonia",2000,1397001
"Estonia",2001,1388174
"Estonia",2002,1379438
"Estonia",2003,1370849
"Estonia",2004,1362682
"Estonia",2005,1354847
"Estonia",2006,1346884
"Estonia",2007,1340709
"Estonia",2008,1337078
"Estonia",2009,1334528
"Estonia",2010,1331450
"Estonia",2011,1327366
"Estonia",2012,1322616
"Estonia",2013,1317921
"Estonia",2014,1314456
"Estonia",2015,1314581
"Estonia",2016,1315850
"Estonia",2017,1317432
"Estonia",2018,1321971
"Estonia",2019,1326821
"Estonia",2020,1329674
"Estonia",2021,1331750
"Estonia",2022,1350092
"Estonia",2023,1367194
"Latvia",1950,1918725
"Latvia",1951,1933918
"Latvia",1952,1949540
"Latvia",1953,1965203
"Latvia",1954,1982038
"Latvia",1955,2000467
"Latvia",1956,2019509
"Latvia",1957,2040120
"Latvia",1958,2063295
"Latvia",1959,2096984
"Latvia",1960,2131169
"Latvia",1961,2157174
"Latvia",1962,2182288
"Latvia",1963,2205804
"Latvia",1964,2229752
"Latvia",1965,2252770
"Latvia",1966,2274355
"Latvia",1967,2296080
"Latvia",1968,2317285
"Latvia",1969,2337665
"Latvia",1970,2357562
"Latvia",1971,2377074
"Latvia",1972,2395872
"Latvia",1973,2415775
"Latvia",1974,2436992
"Latvia",1975,2455780
"Latvia",1976,2470541
"Latvia",1977,2484607
"Latvia",1978,2497363
"Latvia",1979,2505526
"Latvia",1980,2511754
"Latvia",1981,2519972
"Latvia",1982,2532018
"Latvia",1983,2546977
"Latvia",1984,2562773
"Latvia",1985,2579236
"Latvia",1986,2599784
"Latvia",1987,2625969
"Latvia",1988,2652251
"Latvia",1989,2664839
"Latvia",1990,2660130
"Latvia",1991,2648934
"Latvia",1992,2614832
"Latvia",1993,2563820
"Latvia",1994,2521237
"Latvia",1995,2485951
"Latvia",1996,2457910
"Latvia",1997,2433230
"Latvia",1998,2410219
"Latvia",1999,2390825
"Latvia",2000,2368321
"Latvia",2001,2338300
"Latvia",2002,2311356
"Latvia",2003,2288983
"Latvia",2004,2264178
"Latvia",2005,2239787
"Latvia",2006,2219038
"Latvia",2007,2200772
"Latvia",2008,2177711
"Latvia",2009,2142043
"Latvia",2010,2097834
"Latvia",2011,2059940
"Latvia",2012,2034639
"Latvia",2013,2013004
"Latvia",2014,1994153
"Latvia",2015,1977874
"Latvia",2016,1959864
"Latvia",2017,1942599
"Latvia",2018,1927586
"Latvia",2019,1914267
"Latvia",2020,1901119
"Latvia",2021,1885592
"Latvia",2022,1881058
"Latvia",2023,1882400
"Lithuania",1950,2433001
"Lithuania",1951,2458822
"Lithuania",1952,2486412
"Lithuania",1953,2515122
"Lithuania",1954,2544711
"Lithuania",1955,2575310
"Lithuania",1956,2607334
"Lithuania",1957,2641760
"Lithuania",1958,2678932
"Lithuania",1959,2722677
"Lithuania",1960,2769098
"Lithuania",1961,2812604
"Lithuania",1962,2853290
"Lithuania",1963,2891080
"Lithuania",1964,2928857
"Lithuania",1965,2965260
"Lithuania",1966,3000359
"Lithuania",1967,3035382
"Lithuania",1968,3070262
"Lithuania",1969,3103423
"Lithuania",1970,3135873
"Lithuania",1971,3170712
"Lithuania",1972,3204902
"Lithuania",1973,3236224
"Lithuania",1974,3266366
"Lithuania",1975,3295734
"Lithuania",1976,3324568
"Lithuania",1977,3353250
"Lithuania",1978,3380073
"Lithuania",1979,3404742
"Lithuania",1980,3428416
"Lithuania",1981,3452313
"Lithuania",1982,3477581
"Lithuania",1983,3505434
"Lithuania",1984,3534124
"Lithuania",1985,3562393
"Lithuania",1986,3593781
"Lithuania",1987,3627368
"Lithuania",1988,3672653
"Lithuania",1989,3696106
"Lithuania",1990,3695015
"Lithuania",1991,3701409
"Lithuania",1992,3697553
"Lithuania",1993,3680202
"Lithuania",1994,3654893
"Lithuania",1995,3627038
"Lithuania",1996,3599721
"Lithuania",1997,3573418
"Lithuania",1998,3547769
"Lithuania",1999,3522905
"Lithuania",2000,3500410
"Lithuania",2001,3473008
"Lithuania",2002,3444051
"Lithuania",2003,3415276
"Lithuania",2004,3376703
"Lithuania",2005,3322264
