"country","year","population"
"Armenia",1950,1382896
"Armenia",1951,1417284
"Armenia",1952,1454107
"Armenia",1953,1493581
"Armenia",1954,1535982
"Armenia",1955,1581513
"Armenia",1956,1630822
"Armenia",1957,1684148
"Armenia",1958,1740888
"Armenia",1959,1801015
"Armenia",1960,1863710
"Armenia",1961,1927489
"Armenia",1962,1991686
"Armenia",1963,2056024
"Armenia",1964,2120136
"Armenia",1965,2183637
"Armenia",1966,2246162
"Armenia",1967,2307494
"Armenia",1968,2367325
"Armenia",1969,2424036
"Armenia",1970,2475629
"Armenia",1971,2525349
"Armenia",1972,2577082
"Armenia",1973,2630860
"Armenia",1974,2686446
"Armenia",1975,2743665
"Armenia",1976,2818168
"Armenia",1977,2912833
"Armenia",1978,3012808
"Armenia",1979,3078506
"Armenia",1980,3107420
"Armenia",1981,3135355
"Armenia",1982,3163145
"Armenia",1983,3191547
"Armenia",1984,3224549
"Armenia",1985,3260440
"Armenia",1986,3294858
"Armenia",1987,3328525
"Armenia",1988,3355124
"Armenia",1989,3443095
"Armenia",1990,3552129
"Armenia",1991,3613977
"Armenia",1992,3571869
"Armenia",1993,3453338
"Armenia",1994,3364620
"Armenia",1995,3307585
"Armenia",1996,3278738
"Armenia",1997,3246292
"Armenia",1998,3208400
"Armenia",1999,3167282
"Armenia",2000,3125630
"Armenia",2001,3084350
"Armenia",2002,3055635
"Armenia",2003,3038976
"Armenia",2004,3022544
"Armenia",2005,3006360
"Armenia",2006,2990371
"Armenia",2007,2974825
"Armenia",2008,2959996
"Armenia",2009,2945518
"Armenia",2010,2931083
"Armenia",2011,2923267
"Armenia",2012,2922528
"Armenia",2013,2922528
"Armenia",2014,2922433
"Armenia",2015,2921179
"Armenia",2016,2918795
"Armenia",2017,2914967
"Armenia",2018,2909970
"Armenia",2019,2903975
"Armenia",2020,2890894
"Armenia",2021,2870339
"Armenia",2022,2880883
"Armenia",2023,2943395
"Azerbaijan",1950,3131978
"Azerbaijan",1951,3187157
"Azerbaijan",1952,3247007
"Azerbaijan",1953,3312611
"Azerbaijan",1954,3384707
"Azerbaijan",1955,3464090
"Azerbaijan",1956,3551390
"Azerbaijan",1957,3646867
"Azerbaijan",1958,3750702
"Azerbaijan",1959,3862828
"Azerbaijan",1960,3982710
"Azerbaijan",1961,4108981
"Azerbaijan",1962,4239411
"Azerbaijan",1963,4372047
"Azerbaijan",1964,4503659
"Azerbaijan",1965,4630315
"Azerbaijan",1966,4751910
"Azerbaijan",1967,4867309
"Azerbaijan",1968,4976488
"Azerbaijan",1969,5081769
"Azerbaijan",1970,5183827
"Azerbaijan",1971,5283500
