"country","year","population"
"Anguilla",1950,5022
"Anguilla",1951,5229
"Anguilla",1952,5388
"Anguilla",1953,5522
"Anguilla",1954,5668
"Anguilla",1955,5763
"Anguilla",1956,5801
"Anguilla",1957,5823
"Anguilla",1958,5819
"Anguilla",1959,5800
"Anguilla",1960,5801
"Anguilla",1961,5846
"Anguilla",1962,5899
"Anguilla",1963,5943
"Anguilla",1964,5994
"Anguilla",1965,6040
"Anguilla",1966,6095
"Anguilla",1967,6150
"Anguilla",1968,6207
"Anguilla",1969,6257
"Anguilla",1970,6324
"Anguilla",1971,6376
"Anguilla",1972,6427
"Anguilla",1973,6466
"Anguilla",1974,6502
"Anguilla",1975,6519
"Anguilla",1976,6545
"Anguilla",1977,6567
"Anguilla",1978,6587
"Anguilla",1979,6602
"Anguilla",1980,6612
"Anguilla",1981,6628
"Anguilla",1982,6653
"Anguilla",1983,6672
"Anguilla",1984,6764
"Anguilla",1985,6978
"Anguilla",1986,7245
"Anguilla",1987,7519
"Anguilla",1988,7807
"Anguilla",1989,8116
"Anguilla",1990,8422
"Anguilla",1991,8728
"Anguilla",1992,9005
"Anguilla",1993,9252
"Anguilla",1994,9489
"Anguilla",1995,9738
"Anguilla",1996,10000
"Anguilla",1997,10278
"Anguilla",1998,10557
"Anguilla",1999,10864
"Anguilla",2000,11196
"Anguilla",2001,11497
"Anguilla",2002,11714
"Anguilla",2003,11903
"Anguilla",2004,12092
"Anguilla",2005,12290
"Anguilla",2006,12493
"Anguilla",2007,12697
"Anguilla",2008,12911
"Anguilla",2009,13138
"Anguilla",2010,13372
"Anguilla",2011,13593
"Anguilla",2012,13401
"Anguilla",2013,13272
"Anguilla",2014,13748
"Anguilla",2015,14235
"Anguilla",2016,14344
"Anguilla",2017,14449
"Anguilla",2018,14746
"Anguilla",2019,14845
"Anguilla",2020,14864
"Anguilla",2021,14503
"Anguilla",2022,14202
"Anguilla",2023,14435
"Argentina",1950,17018034
"Argentina",1951,17356465
"Argentina",1952,17698882
"Argentina",1953,18041299
"Argentina",1954,18381211
"Argentina",1955,18716035
"Argentina",1956,19049972
"Argentina",1957,19383045
"Argentina",1958,19714264
"Argentina",1959,20049605
"Argentina",1960,20386054
"Argentina",1961,20726278
"Argentina",1962,21072543
"Argentina",1963,21421703
"Argentina",1964,21769451
"Argentina",1965,22112635
"Argentina",1966,22453898
"Argentina",1967,22799062
"Argentina",1968,23150579
"Argentina",1969,23508715
"Argentina",1970,23878331
"Argentina",1971,24257211
"Argentina",1972,24644332
"Argentina",1973,25046008
"Argentina",1974,25461353
"Argentina",1975,25874106
"Argentina",1976,26282282
"Argentina",1977,26701814
"Argentina",1978,27132164
"Argentina",1979,27568894
"Argentina",1980,28011596
"Argentina",1981,28463957
"Argentina",1982,28924269
"Argentina",1983,29391333
"Argentina",1984,29863091
"Argentina",1985,30336448
"Argentina",1986,30811983
"Argentina",1987,31291764
"Argentina",1988,31780533
"Argentina",1989,32270958
"Argentina",1990,32755907
"Argentina",1991,33230292
"Argentina",1992,33693532
"Argentina",1993,34152718
"Argentina",1994,34613491
"Argentina",1995,35070016
"Argentina",1996,35513794
"Argentina",1997,35947790
"Argentina",1998,36372863
"Argentina",1999,36794686
"Argentina",2000,37213985
"Argentina",2001,37624818
"Argentina",2002,38029346
"Argentina",2003,38424284
"Argentina",2004,38815915
"Argentina",2005,39216787
"Argentina",2006,39622113
"Argentina",2007,40016766
"Argentina",2008,40424149
"Argentina",2009,40854832
"Argentina",2010,41288694
"Argentina",2011,41730655
"Argentina",2012,42161718
"Argentina",2013,42582454
"Argentina",2014,43024072
"Argentina",2015,43477009
"Argentina",2016,43900312
"Argentina",2017,44288898
"Argentina",2018,44654876
"Argentina",2019,44973468
"Argentina",2020,45191960
"Argentina",2021,45312283
"Argentina",2022,45407904
"Argentina",2023,45538402
"Aruba",1950,42763
"Aruba",1951,43880
"Aruba",1952,45052
"Aruba",1953,46269
"Aruba",1954,47516
"Aruba",1955,48786
"Aruba",1956,50083
"Aruba",1957,51383
"Aruba",1958,52686
"Aruba",1959,54003
"Aruba",1960,54938
"Aruba",1961,55596
"Aruba",1962,56335
"Aruba",1963,57018
"Aruba",1964,57637
"Aruba",1965,58208
"Aruba",1966,58707
"Aruba",1967,59011
"Aruba",1968,59086
"Aruba",1969,59068
"Aruba",1970,58967
"Aruba",1971,58798
"Aruba",1972,58912
"Aruba",1973,59456
"Aruba",1974,60144
"Aruba",1975,60825
"Aruba",1976,61292
"Aruba",1977,61532
"Aruba",1978,61733
"Aruba",1979,61913
"Aruba",1980,62050
"Aruba",1981,62279
"Aruba",1982,62675
"Aruba",1983,63114
"Aruba",1984,63483
"Aruba",1985,63673
"Aruba",1986,63641
"Aruba",1987,63420
"Aruba",1988,63219
"Aruba",1989,63413
"Aruba",1990,64452
"Aruba",1991,66564
"Aruba",1992,68889
"Aruba",1993,71090
"Aruba",1994,73476
"Aruba",1995,75931
"Aruba",1996,78495
"Aruba",1997,81121
"Aruba",1998,83787
"Aruba",1999,86482
"Aruba",2000,88772
"Aruba",2001,90320
"Aruba",2002,91392
"Aruba",2003,92324
"Aruba",2004,93223
"Aruba",2005,94238
"Aruba",2006,95403
"Aruba",2007,96604
"Aruba",2008,97815
"Aruba",2009,99040
"Aruba",2010,100127
"Aruba",2011,100994
"Aruba",2012,101774
"Aruba",2013,102570
"Aruba",2014,103381
"Aruba",2015,104200
"Aruba",2016,104989
"Aruba",2017,105736
"Aruba",2018,106447
"Aruba",2019,107089
"Aruba",2020,107411
"Aruba",2021,107565
"Aruba",2022,107792
"Aruba",2023,107946
"Barbados",1950,209927
"Barbados",1951,213410
"Barbados",1952,216516
"Barbados",1953,219243
"Barbados",1954,221568
"Barbados",1955,223298
"Barbados",1956,224520
"Barbados",1957,225804
"Barbados",1958,227267
"Barbados",1959,228789
"Barbados",1960,230901
"Barbados",1961,233155
"Barbados",1962,235236
"Barbados",1963,237566
"Barbados",1964,239969
"Barbados",1965,242420
"Barbados",1966,245010
"Barbados",1967,247099
"Barbados",1968,248554
"Barbados",1969,249443
"Barbados",1970,249398
"Barbados",1971,249177
"Barbados",1972,249663
"Barbados",1973,250331
"Barbados",1974,250787
"Barbados",1975,251188
"Barbados",1976,251455
"Barbados",1977,251631
"Barbados",1978,251566
"Barbados",1979,251276
"Barbados",1980,251532
"Barbados",1981,252274
"Barbados",1982,253097
"Barbados",1983,253992
"Barbados",1984,254930
"Barbados",1985,255831
"Barbados",1986,256628
"Barbados",1987,257286
"Barbados",1988,257768
"Barbados",1989,258111
"Barbados",1990,258581
"Barbados",1991,259382
"Barbados",1992,260273
"Barbados",1993,261034
"Barbados",1994,261627
"Barbados",1995,262044
"Barbados",1996,262290
"Barbados",1997,262404
"Barbados",1998,262437
"Barbados",1999,262521
"Barbados",2000,262069
"Barbados",2001,262428
"Barbados",2002,264151
"Barbados",2003,265787
"Barbados",2004,267296
"Barbados",2005,268719
"Barbados",2006,270010
"Barbados",2007,271296
"Barbados",2008,272718
"Barbados",2009,274137
"Barbados",2010,275250
"Barbados",2011,276149
"Barbados",2012,276947
"Barbados",2013,277670
"Barbados",2014,278355
"Barbados",2015,278997
"Barbados",2016,279604
"Barbados",2017,280176
"Barbados",2018,280715
"Barbados",2019,281216
"Barbados",2020,281705
"Barbados",2021,282156
"Barbados",2022,282324
"Barbados",2023,282348
"Belize",1950,69085
"Belize",1951,71137
"Belize",1952,73364
"Belize",1953,75529
"Belize",1954,77691
"Belize",1955,79868
"Belize",1956,82090
"Belize",1957,84356
"Belize",1958,86673
"Belize",1959,89008
"Belize",1960,91331
"Belize",1961,93645
"Belize",1962,96060
"Belize",1963,98713
"Belize",1964,101619
"Belize",1965,104691
"Belize",1966,107916
"Belize",1967,111290
"Belize",1968,114731
"Belize",1969,118053
