"country","year","population"
"Algeria",1950,9018423
"Algeria",1951,9269869
"Algeria",1952,9521212
"Algeria",1953,9772646
"Algeria",1954,10014393
"Algeria",1955,10247428
"Algeria",1956,10482183
"Algeria",1957,10717503
"Algeria",1958,10953641
"Algeria",1959,11189621
"Algeria",1960,11424930
"Algeria",1961,11628876
"Algeria",1962,11800768
"Algeria",1963,11982120
"Algeria",1964,12179807
"Algeria",1965,12365980
"Algeria",1966,12590068
"Algeria",1967,12876116
"Algeria",1968,13172615
"Algeria",1969,13475958
"Algeria",1970,13783725
"Algeria",1971,14098938
"Algeria",1972,14427076
"Algeria",1973,14771151
"Algeria",1974,15133507
"Algeria",1975,15678601
"Algeria",1976,16409170
"Algeria",1977,17015987
"Algeria",1978,17506978
"Algeria",1979,18036655
"Algeria",1980,18607175
"Algeria",1981,19220708
"Algeria",1982,19872354
"Algeria",1983,20558121
"Algeria",1984,21271969
"Algeria",1985,22008541
"Algeria",1986,22745500
"Algeria",1987,23443628
"Algeria",1988,24109537
"Algeria",1989,24754488
"Algeria",1990,25375816
"Algeria",1991,25987937
"Algeria",1992,26628568
"Algeria",1993,27277040
"Algeria",1994,27887276
"Algeria",1995,28470194
"Algeria",1996,29033045
"Algeria",1997,29579300
"Algeria",1998,30054135
"Algeria",1999,30474359
"Algeria",2000,30903895
"Algeria",2001,31331226
"Algeria",2002,31750833
"Algeria",2003,32175813
"Algeria",2004,32628286
"Algeria",2005,33109258
"Algeria",2006,33623505
"Algeria",2007,34189420
"Algeria",2008,34816962
"Algeria",2009,35490443
"Algeria",2010,36188236
"Algeria",2011,36903375
"Algeria",2012,37646164
"Algeria",2013,38414176
"Algeria",2014,39205035
"Algeria",2015,40019528
"Algeria",2016,40850720
"Algeria",2017,41689304
"Algeria",2018,42505033
"Algeria",2019,43294550
"Algeria",2020,44042093
"Algeria",2021,44761101
"Algeria",2022,45477391
"Algeria",2023,46164221
"Egypt",1950,21148167
"Egypt",1951,21605922
"Egypt",1952,22104946
"Egypt",1953,22644147
"Egypt",1954,23212566
"Egypt",1955,23795235
"Egypt",1956,24387350
"Egypt",1957,24994416
"Egypt",1958,25600325
"Egypt",1959,26226866
"Egypt",1960,26896481
"Egypt",1961,27600904
"Egypt",1962,28337015
"Egypt",1963,29091868
"Egypt",1964,29858924
"Egypt",1965,30629174
"Egypt",1966,31406543
"Egypt",1967,32196366
"Egypt",1968,32998321
"Egypt",1969,33811619
"Egypt",1970,34623990
"Egypt",1971,35433371
"Egypt",1972,36258327
"Egypt",1973,37102042
"Egypt",1974,37969664
"Egypt",1975,38875328
"Egypt",1976,39795558
"Egypt",1977,40748879
"Egypt",1978,41761437
"Egypt",1979,42818635
"Egypt",1980,43950414
"Egypt",1981,45147227
"Egypt",1982,46407613
"Egypt",1983,47786402
"Egypt",1984,49247335
"Egypt",1985,50734974
"Egypt",1986,52206295
"Egypt",1987,53674436
"Egypt",1988,55187678
"Egypt",1989,56710641
"Egypt",1990,58396625
"Egypt",1991,60029001
"Egypt",1992,61480663
"Egypt",1993,62915681
"Egypt",1994,64285594
"Egypt",1995,65652622
"Egypt",1996,67028046
"Egypt",1997,68431737
"Egypt",1998,69943298
"Egypt",1999,71520952
"Egypt",2000,73083287
"Egypt",2001,74652034
"Egypt",2002,76239138
"Egypt",2003,77853549
"Egypt",2004,79477439
"Egypt",2005,81101013
"Egypt",2006,82700405
"Egypt",2007,84276227
"Egypt",2008,85864791
"Egypt",2009,87501636
"Egypt",2010,89196070
"Egypt",2011,91093068
"Egypt",2012,93161001
"Egypt",2013,95333551
"Egypt",2014,97528656
"Egypt",2015,99597333
"Egypt",2016,101644586
"Egypt",2017,103696057
"Egypt",2018,105682093
"Egypt",2019,107553159
"Egypt",2020,109315119
"Egypt",2021,110957004
"Egypt",2022,112618251
"Egypt",2023,114535772
"Libya",1950,1131470
"Libya",1951,1145389
"Libya",1952,1162480
"Libya",1953,1183300
"Libya",1954,1208183
"Libya",1955,1241388
"Libya",1956,1282960
"Libya",1957,1328857
"Libya",1958,1379207
"Libya",1959,1433965
"Libya",1960,1492892
"Libya",1961,1555702
"Libya",1962,1621959
"Libya",1963,1690459
"Libya",1964,1753691
"Libya",1965,1804016
"Libya",1966,1849067
"Libya",1967,1898203
"Libya",1968,1952789
"Libya",1969,2014294
"Libya",1970,2082597
"Libya",1971,2153537
"Libya",1972,2226105
"Libya",1973,2314198
"Libya",1974,2432219
"Libya",1975,2571563
"Libya",1976,2721245
"Libya",1977,2881540
"Libya",1978,3052531
"Libya",1979,3233850
"Libya",1980,3424375
"Libya",1981,3621488
"Libya",1982,3724775
"Libya",1983,3718967
"Libya",1984,3773637
"Libya",1985,3898745
"Libya",1986,4017404
"Libya",1987,4129743
"Libya",1988,4237754
"Libya",1989,4342927
"Libya",1990,4445242
"Libya",1991,4544405
"Libya",1992,4640358
"Libya",1993,4733054
"Libya",1994,4822039
"Libya",1995,4906851
"Libya",1996,4987402
"Libya",1997,5064640
"Libya",1998,5140710
"Libya",1999,5218040
"Libya",2000,5305020
"Libya",2001,5403637
"Libya",2002,5508411
"Libya",2003,5619403
"Libya",2004,5736696
"Libya",2005,5858791
"Libya",2006,5980212
"Libya",2007,6104379
"Libya",2008,6235433
"Libya",2009,6366688
"Libya",2010,6497838
"Libya",2011,6343210
"Libya",2012,6179328
"Libya",2013,6304636
"Libya",2014,6427260
"Libya",2015,6531825
"Libya",2016,6632129
"Libya",2017,6738770
"Libya",2018,6849060
"Libya",2019,6951038
"Libya",2020,7045404
"Libya",2021,7135180
"Libya",2022,7223804
"Libya",2023,7305660
"Morocco",1950,8935456
"Morocco",1951,9159293
"Morocco",1952,9394882
"Morocco",1953,9639571
"Morocco",1954,9893318
"Morocco",1955,10158129
"Morocco",1956,10434022
"Morocco",1957,10720555
"Morocco",1958,11013746
"Morocco",1959,11317011
"Morocco",1960,11624932
"Morocco",1961,11931097
"Morocco",1962,12253095
"Morocco",1963,12577499
"Morocco",1964,12898883
"Morocco",1965,13239174
"Morocco",1966,13597063
"Morocco",1967,13968181
"Morocco",1968,14347898
"Morocco",1969,14734253
"Morocco",1970,15129452
"Morocco",1971,15527226
"Morocco",1972,15924696
"Morocco",1973,16326277
"Morocco",1974,16733850
"Morocco",1975,17150789
"Morocco",1976,17574188
"Morocco",1977,18014760
"Morocco",1978,18477384
"Morocco",1979,18955588
"Morocco",1980,19459942
"Morocco",1981,19985406
"Morocco",1982,20520325
"Morocco",1983,21060697
"Morocco",1984,21593778
"Morocco",1985,22113954
"Morocco",1986,22600803
"Morocco",1987,23054390
"Morocco",1988,23500528
"Morocco",1989,23939414
"Morocco",1990,24375558
"Morocco",1991,24799015
"Morocco",1992,25212469
"Morocco",1993,25614587
