"country","year","population"
"AmericanSamoa",1950,19070
"AmericanSamoa",1951,19449
"AmericanSamoa",1952,19576
"AmericanSamoa",1953,19691
"AmericanSamoa",1954,19782
"AmericanSamoa",1955,19877
"AmericanSamoa",1956,19959
"AmericanSamoa",1957,19983
"AmericanSamoa",1958,19949
"AmericanSamoa",1959,19930
"AmericanSamoa",1960,20158
"AmericanSamoa",1961,20686
"AmericanSamoa",1962,21317
"AmericanSamoa",1963,21991
"AmericanSamoa",1964,22692
"AmericanSamoa",1965,23429
"AmericanSamoa",1966,24157
"AmericanSamoa",1967,24890
"AmericanSamoa",1968,25629
"AmericanSamoa",1969,26393
"AmericanSamoa",1970,27051
"AmericanSamoa",1971,27555
"AmericanSamoa",1972,28019
"AmericanSamoa",1973,28465
"AmericanSamoa",1974,28894
"AmericanSamoa",1975,29406
"AmericanSamoa",1976,29979
"AmericanSamoa",1977,30543
"AmericanSamoa",1978,31098
"AmericanSamoa",1979,31632
"AmericanSamoa",1980,32427
"AmericanSamoa",1981,33606
"AmericanSamoa",1982,34937
"AmericanSamoa",1983,36291
"AmericanSamoa",1984,37689
"AmericanSamoa",1985,39126
"AmericanSamoa",1986,40588
"AmericanSamoa",1987,42095
"AmericanSamoa",1988,43634
"AmericanSamoa",1989,45207
"AmericanSamoa",1990,46659
"AmericanSamoa",1991,47904
"AmericanSamoa",1992,49055
"AmericanSamoa",1993,50178
"AmericanSamoa",1994,51273
"AmericanSamoa",1995,52337
"AmericanSamoa",1996,53378
"AmericanSamoa",1997,54385
"AmericanSamoa",1998,55354
"AmericanSamoa",1999,56265
"AmericanSamoa",2000,56877
"AmericanSamoa",2001,57072
"AmericanSamoa",2002,57080
"AmericanSamoa",2003,56988
"AmericanSamoa",2004,56841
"AmericanSamoa",2005,56637
"AmericanSamoa",2006,56390
"AmericanSamoa",2007,56133
"AmericanSamoa",2008,55848
"AmericanSamoa",2009,55541
"AmericanSamoa",2010,55245
"AmericanSamoa",2011,54917
"AmericanSamoa",2012,54505
"AmericanSamoa",2013,54026
"AmericanSamoa",2014,53490
"AmericanSamoa",2015,52895
"AmericanSamoa",2016,52261
"AmericanSamoa",2017,51606
"AmericanSamoa",2018,50928
"AmericanSamoa",2019,50230
"AmericanSamoa",2020,49779
"AmericanSamoa",2021,49248
"AmericanSamoa",2022,48365
"AmericanSamoa",2023,47543
"Australia",1950,8176751
"Australia",1951,8418614
"Australia",1952,8630704
"Australia",1953,8816084
"Australia",1954,8999382
"Australia",1955,9205190
"Australia",1956,9424661
"Australia",1957,9638771
"Australia",1958,9847636
"Australia",1959,10060034
"Australia",1960,10280815
"Australia",1961,10500443
"Australia",1962,10707235
"Australia",1963,10913271
"Australia",1964,11128257
"Australia",1965,11357478
"Australia",1966,11592486
"Australia",1967,11810519
"Australia",1968,12030011
"Australia",1969,12272387
"Australia",1970,12599414
"Australia",1971,12997962
"Australia",1972,13304896
"Australia",1973,13518687
"Australia",1974,13719499
"Australia",1975,13893985
"Australia",1976,14046757
"Australia",1977,14203512
"Australia",1978,14367097
"Australia",1979,14533034
"Australia",1980,14721343
"Australia",1981,14949209
"Australia",1982,15192485
"Australia",1983,15414891
"Australia",1984,15620650
"Australia",1985,15835742
"Australia",1986,16069630
"Australia",1987,16322272
"Australia",1988,16594102
"Australia",1989,16869361
"Australia",1990,17126301
"Australia",1991,17353191
"Australia",1992,17549282
"Australia",1993,17722905
"Australia",1994,17897430
"Australia",1995,18095338
"Australia",1996,18305299
"Australia",1997,18504909
"Australia",1998,18701707
"Australia",1999,18909979
"Australia",2000,19132473
"Australia",2001,19365437
"Australia",2002,19595357
"Australia",2003,19819450
"Australia",2004,20046680
"Australia",2005,20294490
"Australia",2006,20590565
"Australia",2007,20954545
"Australia",2008,21370595
"Australia",2009,21783014
"Australia",2010,22141583
"Australia",2011,22479778
"Australia",2012,22852649
"Australia",2013,23236271
"Australia",2014,23595599
"Australia",2015,23947998
"Australia",2016,24329961
"Australia",2017,24731044
"Australia",2018,25119700
"Australia",2019,25482714
"Australia",2020,25743787
"Australia",2021,25956416
"Australia",2022,26200987
"Australia",2023,26451125
"CookIslands",1950,14714
"CookIslands",1951,15075
"CookIslands",1952,15363
"CookIslands",1953,15631
"CookIslands",1954,15907
"CookIslands",1955,16189
"CookIslands",1956,16455
"CookIslands",1957,16710
"CookIslands",1958,16988
"CookIslands",1959,17315
"CookIslands",1960,17685
"CookIslands",1961,18059
"CookIslands",1962,18310
"CookIslands",1963,18445
"CookIslands",1964,18609
"CookIslands",1965,18804
"CookIslands",1966,19038
"CookIslands",1967,19348
"CookIslands",1968,19711
"CookIslands",1969,20100
"CookIslands",1970,20511
"CookIslands",1971,20889
"CookIslands",1972,20795
"CookIslands",1973,20211
"CookIslands",1974,19583
"CookIslands",1975,18920
"CookIslands",1976,18269
"CookIslands",1977,17932
"CookIslands",1978,17872
"CookIslands",1979,17799
"CookIslands",1980,17718
"CookIslands",1981,17623
"CookIslands",1982,17498
"CookIslands",1983,17304
"CookIslands",1984,17085
"CookIslands",1985,16853
"CookIslands",1986,16626
"CookIslands",1987,16601
"CookIslands",1988,16771
"CookIslands",1989,16958
"CookIslands",1990,17146
"CookIslands",1991,17328
"CookIslands",1992,17495
"CookIslands",1993,17615
"CookIslands",1994,17709
"CookIslands",1995,17801
"CookIslands",1996,17880
"CookIslands",1997,17648
"CookIslands",1998,17102
"CookIslands",1999,16504
"CookIslands",2000,15876
"CookIslands",2001,15259
"CookIslands",2002,14994
"CookIslands",2003,15049
"CookIslands",2004,15103
"CookIslands",2005,15152
"CookIslands",2006,15233
"CookIslands",2007,15519
"CookIslands",2008,16003
"CookIslands",2009,16497
"CookIslands",2010,16999
"CookIslands",2011,17478
"CookIslands",2012,17689
"CookIslands",2013,17626
"CookIslands",2014,17555
"CookIslands",2015,17469
"CookIslands",2016,17358
"CookIslands",2017,17066
"CookIslands",2018,16622
"CookIslands",2019,16151
"CookIslands",2020,15663
"CookIslands",2021,15204
"CookIslands",2022,14747
"CookIslands",2023,14243
"Fiji",1950,309523
"Fiji",1951,316135
"Fiji",1952,323375
"Fiji",1953,331225
"Fiji",1954,339753
"Fiji",1955,349084
"Fiji",1956,359218
"Fiji",1957,369923
"Fiji",1958,381078
"Fiji",1959,392767
"Fiji",1960,404899
"Fiji",1961,417418
"Fiji",1962,430550
"Fiji",1963,444287
"Fiji",1964,458332
"Fiji",1965,472582
"Fiji",1966,486493
"Fiji",1967,498880
"Fiji",1968,510008
"Fiji",1969,520805
"Fiji",1970,531197
"Fiji",1971,541131
"Fiji",1972,550507
"Fiji",1973,559233
"Fiji",1974,567499
"Fiji",1975,575919
"Fiji",1976,585540
"Fiji",1977,597809
"Fiji",1978,612101
"Fiji",1979,626876
"Fiji",1980,641985
"Fiji",1981,657473
"Fiji",1982,673421
"Fiji",1983,689846
"Fiji",1984,706723
"Fiji",1985,723767
"Fiji",1986,739319
"Fiji",1987,750548
"Fiji",1988,758707
"Fiji",1989,766331
"Fiji",1990,773326
"Fiji",1991,779666
"Fiji",1992,785350
"Fiji",1993,790379
"Fiji",1994,794780
"Fiji",1995,798751
"Fiji",1996,803789
"Fiji",1997,812145
"Fiji",1998,822258
"Fiji",1999,831835
"Fiji",2000,840913
"Fiji",2001,849606
"Fiji",2002,858057
"Fiji",2003,866298
"Fiji",2004,874366
"Fiji",2005,882384
"Fiji",2006,890370
"Fiji",2007,897843
"Fiji",2008,903403
"Fiji",2009,907247
"Fiji",2010,910426
"Fiji",2011,912991
"Fiji",2012,914919
"Fiji",2013,916358
"Fiji",2014,917589
"Fiji",2015,918583
"Fiji",2016,919167
"Fiji",2017,918762
"Fiji",2018,917184
"Fiji",2019,914904
"Fiji",2020,914970
"Fiji",2021,916717
"Fiji",2022,919428
"Fiji",2023,924150
"FrenchPolynesia",1950,64361
"FrenchPolynesia",1951,65925
"FrenchPolynesia",1952,67638
"FrenchPolynesia",1953,69505
"FrenchPolynesia",1954,71574
"FrenchPolynesia",1955,73862
"FrenchPolynesia",1956,76343
"FrenchPolynesia",1957,78455
"FrenchPolynesia",1958,80161
"FrenchPolynesia",1959,81912
"FrenchPolynesia",1960,83689
"FrenchPolynesia",1961,85452
"FrenchPolynesia",1962,87278
"FrenchPolynesia",1963,89748
"FrenchPolynesia",1964,92832
"FrenchPolynesia",1965,96034
"FrenchPolynesia",1966,99336
"FrenchPolynesia",1967,102769
"FrenchPolynesia",1968,106369
"FrenchPolynesia",1969,110118
"FrenchPolynesia",1970,114027
"FrenchPolynesia",1971,117959
"FrenchPolynesia",1972,121900
"FrenchPolynesia",1973,125911
"FrenchPolynesia",1974,129975
"FrenchPolynesia",1975,134054
"FrenchPolynesia",1976,138135
"FrenchPolynesia",1977,142320
"FrenchPolynesia",1978,146835
"FrenchPolynesia",1979,151583
"FrenchPolynesia",1980,156485
"FrenchPolynesia",1981,161519
"FrenchPolynesia",1982,166651
"FrenchPolynesia",1983,171758
"FrenchPolynesia",1984,176479
"FrenchPolynesia",1985,181004
"FrenchPolynesia",1986,185684
"FrenchPolynesia",1987,190462
"FrenchPolynesia",1988,195209
"FrenchPolynesia",1989,199650
"FrenchPolynesia",1990,203781
"FrenchPolynesia",1991,207753
"FrenchPolynesia",1992,211569
"FrenchPolynesia",1993,215232
"FrenchPolynesia",1994,218745
"FrenchPolynesia",1995,222128
"FrenchPolynesia",1996,225499
"FrenchPolynesia",1997,229133
"FrenchPolynesia",1998,232898
"FrenchPolynesia",1999,236606
"FrenchPolynesia",2000,240346
"FrenchPolynesia",2001,244107
"FrenchPolynesia",2002,247784
