"country","year","population"
"Angola",1950,4551869
"Angola",1951,4602567
"Angola",1952,4651693
"Angola",1953,4706358
"Angola",1954,4766716
"Angola",1955,4832774
"Angola",1956,4904275
"Angola",1957,4980651
"Angola",1958,5061138
"Angola",1959,5145106
"Angola",1960,5231664
"Angola",1961,5301584
"Angola",1962,5354314
"Angola",1963,5408335
"Angola",1964,5464187
"Angola",1965,5521983
"Angola",1966,5581392
"Angola",1967,5641809
"Angola",1968,5702705
"Angola",1969,5763693
"Angola",1970,5852791
"Angola",1971,5991114
"Angola",1972,6174269
"Angola",1973,6388534
"Angola",1974,6613370
"Angola",1975,6842951
"Angola",1976,7074668
"Angola",1977,7317836
"Angola",1978,7576742
"Angola",1979,7847208
"Angola",1980,8133868
"Angola",1981,8435604
"Angola",1982,8751653
"Angola",1983,9082985
"Angola",1984,9425922
"Angola",1985,9779125
"Angola",1986,10139458
"Angola",1987,10497864
"Angola",1988,10861301
"Angola",1989,11238562
"Angola",1990,11626359
"Angola",1991,12023533
"Angola",1992,12423717
"Angola",1993,12827135
"Angola",1994,13249762
"Angola",1995,13699780
"Angola",1996,14170973
"Angola",1997,14660420
"Angola",1998,15159377
"Angola",1999,15667234
"Angola",2000,16194872
"Angola",2001,16747204
"Angola",2002,17327701
"Angola",2003,17943717
"Angola",2004,18600426
"Angola",2005,19291161
"Angola",2006,20015280
"Angola",2007,20778569
"Angola",2008,21578655
"Angola",2009,22414774
"Angola",2010,23294821
"Angola",2011,24218358
"Angola",2012,25177399
"Angola",2013,26165616
"Angola",2014,27160766
"Angola",2015,28157801
"Angola",2016,29183072
"Angola",2017,30234837
"Angola",2018,31297160
"Angola",2019,32375632
"Angola",2020,33451140
"Angola",2021,34532427
"Angola",2022,35635028
"Angola",2023,36749907
"Benin",1950,2250475
"Benin",1951,2267310
"Benin",1952,2285781
"Benin",1953,2306205
"Benin",1954,2328786
"Benin",1955,2353653
"Benin",1956,2380893
"Benin",1957,2410775
"Benin",1958,2443430
"Benin",1959,2478921
"Benin",1960,2517290
"Benin",1961,2559229
"Benin",1962,2604667
"Benin",1963,2652912
"Benin",1964,2704005
"Benin",1965,2757937
"Benin",1966,2814321
"Benin",1967,2873000
"Benin",1968,2934261
"Benin",1969,2998230
"Benin",1970,3065060
"Benin",1971,3134769
"Benin",1972,3207548
"Benin",1973,3283498
"Benin",1974,3362628
"Benin",1975,3445407
"Benin",1976,3532200
"Benin",1977,3623198
"Benin",1978,3718308
"Benin",1979,3818536
"Benin",1980,3925258
"Benin",1981,4038310
"Benin",1982,4156593
"Benin",1983,4278981
"Benin",1984,4405901
"Benin",1985,4538016
"Benin",1986,4675420
"Benin",1987,4818487
"Benin",1988,4967342
"Benin",1989,5121658
"Benin",1990,5281485
"Benin",1991,5446934
"Benin",1992,5617849
"Benin",1993,5872707
"Benin",1994,6096510
"Benin",1995,6226774
"Benin",1996,6391859
"Benin",1997,6583375
"Benin",1998,6789491
"Benin",1999,7002819
"Benin",2000,7221618
"Benin",2001,7445599
"Benin",2002,7675428
"Benin",2003,7913074
"Benin",2004,8159100
"Benin",2005,8426146
"Benin",2006,8693241
"Benin",2007,8953973
"Benin",2008,9228469
"Benin",2009,9509432
"Benin",2010,9797488
"Benin",2011,10093626
"Benin",2012,10397662
"Benin",2013,10708831
"Benin",2014,11030008
"Benin",2015,11360681
"Benin",2016,11697845
"Benin",2017,12039777
"Benin",2018,12383349
"Benin",2019,12726761
"Benin",2020,13070170
"Benin",2021,13413423
"Benin",2022,13759507
"Benin",2023,14111035
"Botswana",1950,413706
"Botswana",1951,423567
"Botswana",1952,433719
"Botswana",1953,443979
"Botswana",1954,454052
"Botswana",1955,463934
"Botswana",1956,473786
"Botswana",1957,483797
"Botswana",1958,494111
"Botswana",1959,504885
"Botswana",1960,516173
"Botswana",1961,527953
"Botswana",1962,540189
"Botswana",1963,552977
"Botswana",1964,566282
"Botswana",1965,574669
"Botswana",1966,577876
"Botswana",1967,580939
"Botswana",1968,583973
"Botswana",1969,587078
"Botswana",1970,590338
"Botswana",1971,600487
"Botswana",1972,622416
"Botswana",1973,652418
"Botswana",1974,685455
"Botswana",1975,720389
"Botswana",1976,758514
"Botswana",1977,799586
"Botswana",1978,849246
"Botswana",1979,901754
"Botswana",1980,937493
"Botswana",1981,970002
"Botswana",1982,1009271
"Botswana",1983,1046147
"Botswana",1984,1083665
"Botswana",1985,1121954
"Botswana",1986,1160655
"Botswana",1987,1199181
"Botswana",1988,1235487
"Botswana",1989,1270281
"Botswana",1990,1305699
"Botswana",1991,1341767
"Botswana",1992,1380038
"Botswana",1993,1420120
"Botswana",1994,1460030
"Botswana",1995,1498843
"Botswana",1996,1535918
"Botswana",1997,1571699
"Botswana",1998,1606906
"Botswana",1999,1642006
"Botswana",2000,1677384
"Botswana",2001,1712264
"Botswana",2002,1744765
"Botswana",2003,1775743
"Botswana",2004,1807153
"Botswana",2005,1839881
"Botswana",2006,1874527
"Botswana",2007,1911202
"Botswana",2008,1949972
"Botswana",2009,1990671
"Botswana",2010,2033110
"Botswana",2011,2073537
"Botswana",2012,2108614
"Botswana",2013,2140687
"Botswana",2014,2172052
"Botswana",2015,2203276
"Botswana",2016,2234783
"Botswana",2017,2266748
"Botswana",2018,2299148
"Botswana",2019,2332081
"Botswana",2020,2365895
"Botswana",2021,2401449
"Botswana",2022,2439895
"Botswana",2023,2480242
"BurkinaFaso",1950,4213152
"BurkinaFaso",1951,4260391
"BurkinaFaso",1952,4310353
"BurkinaFaso",1953,4361323
"BurkinaFaso",1954,4413879
"BurkinaFaso",1955,4469053
"BurkinaFaso",1956,4526658
"BurkinaFaso",1957,4586569
"BurkinaFaso",1958,4647288
"BurkinaFaso",1959,4710848
"BurkinaFaso",1960,4778627
"BurkinaFaso",1961,4848222
"BurkinaFaso",1962,4919674
"BurkinaFaso",1963,4993620
"BurkinaFaso",1964,5071039
"BurkinaFaso",1965,5152834
"BurkinaFaso",1966,5237938
"BurkinaFaso",1967,5326349
"BurkinaFaso",1968,5418645
"BurkinaFaso",1969,5513178
"BurkinaFaso",1970,5610307
"BurkinaFaso",1971,5708002
"BurkinaFaso",1972,5807238
"BurkinaFaso",1973,5911926
"BurkinaFaso",1974,6024905
"BurkinaFaso",1975,6147574
"BurkinaFaso",1976,6280636
"BurkinaFaso",1977,6428740
"BurkinaFaso",1978,6590988
"BurkinaFaso",1979,6763901
"BurkinaFaso",1980,6947900
"BurkinaFaso",1981,7140270
"BurkinaFaso",1982,7340197
"BurkinaFaso",1983,7551136
"BurkinaFaso",1984,7772260
"BurkinaFaso",1985,7999933
"BurkinaFaso",1986,8228848
"BurkinaFaso",1987,8457114
"BurkinaFaso",1988,8687441
"BurkinaFaso",1989,8921176
"BurkinaFaso",1990,9159359
"BurkinaFaso",1991,9394631
"BurkinaFaso",1992,9629280
"BurkinaFaso",1993,9871716
"BurkinaFaso",1994,10123807
"BurkinaFaso",1995,10386724
"BurkinaFaso",1996,10655942
"BurkinaFaso",1997,10934224
"BurkinaFaso",1998,11240668
"BurkinaFaso",1999,11574930
"BurkinaFaso",2000,11925548
"BurkinaFaso",2001,12294996
"BurkinaFaso",2002,12680901
"BurkinaFaso",2003,13082531
"BurkinaFaso",2004,13500537
"BurkinaFaso",2005,13932127
"BurkinaFaso",2006,14373711
"BurkinaFaso",2007,14816312
"BurkinaFaso",2008,15258103
"BurkinaFaso",2009,15710065
"BurkinaFaso",2010,16176504
"BurkinaFaso",2011,16661907
"BurkinaFaso",2012,17172283
"BurkinaFaso",2013,17695412
"BurkinaFaso",2014,18229466
"BurkinaFaso",2015,18777488
"BurkinaFaso",2016,19334854
"BurkinaFaso",2017,19894413
"BurkinaFaso",2018,20438288
"BurkinaFaso",2019,20961954
"BurkinaFaso",2020,21478692
"BurkinaFaso",2021,21995249
"BurkinaFaso",2022,22509037
"BurkinaFaso",2023,23025778
"Burundi",1950,2254942
"Burundi",1951,2305751
"Burundi",1952,2355807
"Burundi",1953,2405190
"Burundi",1954,2454594
"Burundi",1955,2504658
"Burundi",1956,2555314
"Burundi",1957,2606481
"Burundi",1958,2657416
"Burundi",1959,2709604
"Burundi",1960,2764264
"Burundi",1961,2835122
"Burundi",1962,2907944
"Burundi",1963,2969842
"Burundi",1964,3055655
"Burundi",1965,3141371
"Burundi",1966,3217962
"Burundi",1967,3300698
"Burundi",1968,3380389
"Burundi",1969,3454598
"Burundi",1970,3530430
"Burundi",1971,3617296
"Burundi",1972,3617133
"Burundi",1973,3611994
"Burundi",1974,3703605
"Burundi",1975,3796617
"Burundi",1976,3882627
"Burundi",1977,3983584
"Burundi",1978,4100343
"Burundi",1979,4203530
"Burundi",1980,4383713
"Burundi",1981,4566017
"Burundi",1982,4681396
"Burundi",1983,4808531
"Burundi",1984,4926480
"Burundi",1985,5034044
"Burundi",1986,5129423
"Burundi",1987,5247791
"Burundi",1988,5365332
"Burundi",1989,5471704
"Burundi",1990,5587053
"Burundi",1991,5703861
"Burundi",1992,5858404
"Burundi",1993,5676848
"Burundi",1994,5713858
"Burundi",1995,6066321
"Burundi",1996,6070509
"Burundi",1997,6070038
"Burundi",1998,6187113
"Burundi",1999,6337155
"Burundi",2000,6470196
"Burundi",2001,6634368
"Burundi",2002,6824140
"Burundi",2003,7043158
"Burundi",2004,7310656
"Burundi",2005,7587304
"Burundi",2006,7865546
"Burundi",2007,8161879
"Burundi",2008,8505644
"Burundi",2009,8947653
"Burundi",2010,9376447
"Burundi",2011,9717980
"Burundi",2012,10071034
"Burundi",2013,10439345
"Burundi",2014,10799790
"Burundi",2015,11047580
"Burundi",2016,11239458
"Burundi",2017,11506765
"Burundi",2018,11859444
"Burundi",2019,12255339
"Burundi",2020,12617042
"Burundi",2021,12965487
"Burundi",2022,13321101
"Burundi",2023,13689455
"Cameroon",1950,4330088
"Cameroon",1951,4395365
"Cameroon",1952,4464717
"Cameroon",1953,4538445
"Cameroon",1954,4616888
"Cameroon",1955,4700266
"Cameroon",1956,4788342
"Cameroon",1957,4878935
"Cameroon",1958,4972220
"Cameroon",1959,5070072
