"country","year","population"
"Andorra",1950,6018
"Andorra",1951,5843
"Andorra",1952,5474
"Andorra",1953,5346
"Andorra",1954,5623
"Andorra",1955,6187
"Andorra",1956,6788
"Andorra",1957,7420
"Andorra",1958,8090
"Andorra",1959,8794
"Andorra",1960,9532
"Andorra",1961,10307
"Andorra",1962,11107
"Andorra",1963,11936
"Andorra",1964,12786
"Andorra",1965,13655
"Andorra",1966,14649
"Andorra",1967,15860
"Andorra",1968,17200
"Andorra",1969,18580
"Andorra",1970,19998
"Andorra",1971,21466
"Andorra",1972,22977
"Andorra",1973,24542
"Andorra",1974,26153
"Andorra",1975,27799
"Andorra",1976,29457
"Andorra",1977,31125
"Andorra",1978,32757
"Andorra",1979,34326
"Andorra",1980,35802
"Andorra",1981,37194
"Andorra",1982,38785
"Andorra",1983,40586
"Andorra",1984,42291
"Andorra",1985,43847
"Andorra",1986,45758
"Andorra",1987,47676
"Andorra",1988,49439
"Andorra",1989,50638
"Andorra",1990,52616
"Andorra",1991,56692
"Andorra",1992,60216
"Andorra",1993,63293
"Andorra",1994,64630
"Andorra",1995,63935
"Andorra",1996,64008
"Andorra",1997,64721
"Andorra",1998,65399
"Andorra",1999,65732
"Andorra",2000,65703
"Andorra",2001,65874
"Andorra",2002,66528
"Andorra",2003,69507
"Andorra",2004,74342
"Andorra",2005,77436
"Andorra",2006,79609
"Andorra",2007,81900
"Andorra",2008,83513
"Andorra",2009,83908
"Andorra",2010,80726
"Andorra",2011,77801
"Andorra",2012,76858
"Andorra",2013,75220
"Andorra",2014,73755
"Andorra",2015,72194
"Andorra",2016,72197
"Andorra",2017,73781
"Andorra",2018,75182
"Andorra",2019,76491
"Andorra",2020,77398
"Andorra",2021,78375
"Andorra",2022,79722
"Andorra",2023,80868
"Austria",1950,6936454
"Austria",1951,6930485
"Austria",1952,6927254
"Austria",1953,6932082
"Austria",1954,6939893
"Austria",1955,6946661
"Austria",1956,6952266
"Austria",1957,6965837
"Austria",1958,6987344
"Austria",1959,7014269
"Austria",1960,7047274
"Austria",1961,7086061
"Austria",1962,7129580
"Austria",1963,7175502
"Austria",1964,7223393
"Austria",1965,7270413
"Austria",1966,7321523
"Austria",1967,7376293
"Austria",1968,7414628
"Austria",1969,7440308
"Austria",1970,7466321
"Austria",1971,7499636
"Austria",1972,7543264
"Austria",1973,7585107
"Austria",1974,7597963
"Austria",1975,7577832
"Austria",1976,7564457
"Austria",1977,7567332
"Austria",1978,7561204
"Austria",1979,7548345
"Austria",1980,7548405
"Austria",1981,7567550
"Austria",1982,7573077
"Austria",1983,7561166
"Austria",1984,7560716
"Austria",1985,7564311
"Austria",1986,7569397
"Austria",1987,7574314
"Austria",1988,7585347
"Austria",1989,7620406
"Austria",1990,7679626
"Austria",1991,7757140
"Austria",1992,7842716
"Austria",1993,7907492
"Austria",1994,7938156
"Austria",1995,7950322
"Austria",1996,7960918
"Austria",1997,7969802
"Austria",1998,7978465
"Austria",1999,7993895
"Austria",2000,8012929
"Austria",2001,8042232
"Austria",2002,8081638
"Austria",2003,8122605
"Austria",2004,8173494
"Austria",2005,8229204
"Austria",2006,8269902
"Austria",2007,8296949
"Austria",2008,8323250
"Austria",2009,8345072
"Austria",2010,8365087
"Austria",2011,8393272
"Austria",2012,8431598
"Austria",2013,8481411
"Austria",2014,8547812
"Austria",2015,8644037
"Austria",2016,8737920
"Austria",2017,8798780
"Austria",2018,8841652
"Austria",2019,8880875
"Austria",2020,8921402
"Austria",2021,8967053
"Austria",2022,9064679
"Austria",2023,9130434
"Belgium",1950,8617441
"Belgium",1951,8655757
"Belgium",1952,8696641
"Belgium",1953,8741858
"Belgium",1954,8788384
"Belgium",1955,8835490
"Belgium",1956,8882162
"Belgium",1957,8931863
"Belgium",1958,8986122
"Belgium",1959,9045746
"Belgium",1960,9102170
"Belgium",1961,9158207
"Belgium",1962,9217669
"Belgium",1963,9275198
"Belgium",1964,9337682
"Belgium",1965,9399852
"Belgium",1966,9455001
"Belgium",1967,9505921
"Belgium",1968,9549700
"Belgium",1969,9589187
"Belgium",1970,9630508
"Belgium",1971,9666524
"Belgium",1972,9694851
"Belgium",1973,9718032
"Belgium",1974,9735810
"Belgium",1975,9748475
"Belgium",1976,9758905
"Belgium",1977,9774018
"Belgium",1978,9791813
"Belgium",1979,9811367
"Belgium",1980,9833093
"Belgium",1981,9850674
"Belgium",1982,9862330
"Belgium",1983,9869136
"Belgium",1984,9874586
"Belgium",1985,9880337
"Belgium",1986,9886981
"Belgium",1987,9899150
"Belgium",1988,9916567
"Belgium",1989,9936574
"Belgium",1990,9960969
"Belgium",1991,9998961
"Belgium",1992,10045987
"Belgium",1993,10084932
"Belgium",1994,10116005
"Belgium",1995,10137264
"Belgium",1996,10156973
"Belgium",1997,10181465
"Belgium",1998,10203186
"Belgium",1999,10226681
"Belgium",2000,10251719
"Belgium",2001,10287004
"Belgium",2002,10332978
"Belgium",2003,10376260
"Belgium",2004,10421298
"Belgium",2005,10478883
"Belgium",2006,10548446
"Belgium",2007,10625490
"Belgium",2008,10709710
"Belgium",2009,10812936
"Belgium",2010,10936620
"Belgium",2011,11038627
"Belgium",2012,11107524
"Belgium",2013,11160277
"Belgium",2014,11210111
"Belgium",2015,11275332
"Belgium",2016,11332704
"Belgium",2017,11376583
"Belgium",2018,11428609
"Belgium",2019,11490622
"Belgium",2020,11540103
"Belgium",2021,11570842
"Belgium",2022,11641813
"Belgium",2023,11712894
"Denmark",1950,4268408
"Denmark",1951,4300264
"Denmark",1952,4332237
"Denmark",1953,4369108
"Denmark",1954,4406405
"Denmark",1955,4438843
"Denmark",1956,4466341
"Denmark",1957,4489659
"Denmark",1958,4516071
"Denmark",1959,4548480
"Denmark",1960,4579349
"Denmark",1961,4611357
